rank,game_title,platform,year,genre,publisher,developer,north_america,europe,japan,rest_of_world,global,review,critic_score,user_score,url
1,Wii Sports,Wii,2006,Sports,Nintendo,Nintendo EAD,40.43,28.39,3.77,8.54,81.12,76.28,7.7,,http://www.vgchartz.com/game/2667/wii-sports/?region=All
2,Super Mario Bros.,NES,1985,Platform,Nintendo,Nintendo EAD,29.08,3.58,6.81,0.77,40.24,91,10,,http://www.vgchartz.com/game/6455/super-mario-bros/?region=All
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,Nintendo EAD,14.5,12.22,3.63,3.21,33.55,82.07,8.2,9.1,http://www.vgchartz.com/game/6968/mario-kart-wii/?region=All
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,Nintendo EAD,14.82,10.51,3.18,3.01,31.52,82.65,8,8.8,http://www.vgchartz.com/game/24656/wii-sports-resort/?region=All
5,Tetris,GB,1989,Puzzle,Nintendo,Bullet Proof Software,23.2,2.26,4.22,0.58,30.26,88,,,http://www.vgchartz.com/game/4534/tetris/?region=All
6,New Super Mario Bros.,DS,2006,Platform,Nintendo,Nintendo EAD,10.85,8.87,6.48,2.88,29.08,90,9.1,8.1,http://www.vgchartz.com/game/1582/new-super-mario-bros/?region=All
7,Wii Play,Wii,2006,Misc,Nintendo,Nintendo EAD,13.83,9.11,2.93,2.84,28.71,61.64,5.9,4.5,http://www.vgchartz.com/game/2666/wii-play/?region=All
8,Duck Hunt,NES,1984,Shooter,Nintendo,Nintendo R&D1,26.93,0.63,0.28,0.47,28.31,84,,,http://www.vgchartz.com/game/6246/duck-hunt/?region=All
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,Nintendo EAD,13.35,6.48,4.66,2.25,26.75,88.18,8.6,9.2,http://www.vgchartz.com/game/35076/new-super-mario-bros-wii/?region=All
10,Nintendogs,DS,2005,Simulation,Nintendo,Nintendo EAD,9.02,10.81,1.93,2.73,24.5,85,8.4,,http://www.vgchartz.com/game/1657/nintendogs/?region=All
11,Pokémon Gold / Silver Version,GB,1999,Role-Playing,Nintendo,Game Freak  ,9,6.18,7.2,0.71,23.1,89,#N/A,,
12,Wii Fit,Wii,2007,Sports,Nintendo,Nintendo EAD,8.91,8.15,3.6,2.08,22.74,81.2,7.9,,http://www.vgchartz.com/game/7480/wii-fit/?region=All
13,Mario Kart DS,DS,2005,Racing,Nintendo,Nintendo EAD,9.34,7.12,4.11,1.9,22.47,91.34,9.1,9.4,http://www.vgchartz.com/game/1254/mario-kart-ds/?region=All
14,Wii Fit Plus,Wii,2009,Sports,Nintendo,Nintendo EAD,8.82,7.94,2.53,1.86,21.15,80.83,8,,http://www.vgchartz.com/game/35077/wii-fit-plus/?region=All
15,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,Rockstar North,9.43,8.48,0.41,2.49,20.81,95.08,9.5,,http://www.vgchartz.com/game/3427/grand-theft-auto-san-andreas/?region=All
16,Super Mario World,SNES,1990,Platform,Nintendo,Nintendo EAD,12.78,3.75,3.54,0.55,20.61,94,8.5,,http://www.vgchartz.com/game/4441/super-mario-world/?region=All
17,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,Nintendo SDD,4.72,9.1,4.16,2.04,20.02,78.05,8.1,,http://www.vgchartz.com/game/2948/brain-age-train-your-brain-in-minutes-a-day/?region=All
18,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,Good Science Studio,13.5,4.34,0.24,1.82,19.9,65.39,6.7,,http://www.vgchartz.com/game/45608/kinect-adventures/?region=All
19,Super Mario Land,GB,1989,Platform,Nintendo,Nintendo R&D1,10.83,2.71,4.18,0.42,18.14,82,,,http://www.vgchartz.com/game/4436/super-mario-land/?region=All
20,Pokémon Diamond / Pearl Version,DS,2006,Role-Playing,Nintendo,Game Freak  ,6.32,4.34,6.04,1.35,18.05,90,#N/A,,
21,Super Mario Bros. 3,NES,1988,Platform,Nintendo,Nintendo R&D2,9.54,3.44,3.84,0.46,17.28,93,,,http://www.vgchartz.com/game/6458/super-mario-bros-3/?region=All
22,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,Rockstar North,8.41,5.49,0.47,1.78,16.15,94.43,9.6,,http://www.vgchartz.com/game/896/grand-theft-auto-vice-city/?region=All
23,Pokémon Ruby / Sapphire Version,GBA,2002,Role-Playing,Nintendo,Game Freak  ,6.06,3.9,5.38,0.5,15.85,86,#N/A,,
24,Brain Age 2: More Training in Minutes a Day,DS,2005,Misc,Nintendo,Nintendo SDD,3.41,5.32,5.32,1.18,15.24,79.61,8,,http://www.vgchartz.com/game/3841/brain-age-2-more-training-in-minutes-a-day/?region=All
25,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,Polyphony Digital,6.85,4.99,1.87,1.16,14.88,94.47,9.3,,http://www.vgchartz.com/game/886/gran-turismo-3-a-spec/?region=All
26,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,Infinity Ward,9.23,4.09,0.12,1.43,14.87,88.49,8.7,,http://www.vgchartz.com/game/44606/call-of-duty-modern-warfare-3/?region=All
27,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,Game Freak  ,5.89,5.04,3.12,0.59,14.64,88,#N/A,,
28,Pokémon Black / White Version,DS,2010,Role-Playing,Nintendo,Game Freak  ,5.3,2.81,5.64,0.89,14.64,85.88,#N/A,,
29,Call of Duty: Black Ops,X360,2010,Shooter,Activision,Treyarch,9.08,3.42,0.1,1.3,13.9,87.56,8.8,,http://www.vgchartz.com/game/44952/call-of-duty-black-ops/?region=All
30,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,DMA Design,6.99,4.51,0.3,1.3,13.1,91,9.5,,http://www.vgchartz.com/game/891/grand-theft-auto-iii/?region=All
31,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,Infinity Ward,8.27,3.39,0.08,1.26,13,93.57,9.5,9,http://www.vgchartz.com/game/28848/call-of-duty-modern-warfare-2/?region=All
32,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,Infinity Ward,5.46,4.7,0.47,2.02,12.65,88.1,8.7,,http://www.vgchartz.com/game/44606/call-of-duty-modern-warfare-3/?region=All
33,Super Mario 64,N64,1996,Platform,Nintendo,Nintendo EAD,6.91,2.85,1.91,0.23,11.89,93,9.7,,http://www.vgchartz.com/game/2278/super-mario-64/?region=All
34,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,Treyarch,5.67,3.96,0.47,1.79,11.88,88.36,8.8,,http://www.vgchartz.com/game/44952/call-of-duty-black-ops/?region=All
35,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,Treyarch,7.25,3.42,0.04,1.14,11.85,87.56,,,http://www.vgchartz.com/game/70716/call-of-duty-black-ops-ii/?region=All
36,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,Nintendo EAD,2.43,3.25,5.33,0.84,11.84,86.27,8.5,,http://www.vgchartz.com/game/82/animal-crossing-wild-world/?region=All
37,Halo 3,X360,2007,Shooter,Microsoft Game Studios,Bungie Studios,7.72,2.71,0.13,1.18,11.75,93.53,9.6,9.5,http://www.vgchartz.com/game/6964/halo-3/?region=All
38,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,Project Sora,5.9,2.28,2.47,0.93,11.58,93,9.2,9.7,http://www.vgchartz.com/game/6962/super-smash-bros-brawl/?region=All
39,Pokémon Heart Gold / Soul Silver Version,DS,2009,Role-Playing,Nintendo,Game Freak  ,4.2,2.59,3.96,0.77,11.51,87.81,#N/A,,
40,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,Polyphony Digital,3.01,5.63,1.1,1.62,11.36,89.41,8.7,,http://www.vgchartz.com/game/887/gran-turismo-4/?region=All
41,The Sims,PC,2000,Simulation,Electronic Arts,Edge of Reality,11.22,0.01,0,0,11.23,89.8,,,http://www.vgchartz.com/game/5844/the-sims/?region=All
42,Super Mario Land 2: 6 Golden Coins,GB,1992,Platform,Nintendo,Nintendo R&D1,6.16,2.04,2.69,0.29,11.18,85,9,,http://www.vgchartz.com/game/4437/super-mario-land-2-6-golden-coins/?region=All
43,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,Polyphony Digital,4.22,3.87,2.54,0.52,11.15,88,9.5,,http://www.vgchartz.com/game/884/gran-turismo/?region=All
44,Super Mario Galaxy,Wii,2007,Platform,Nintendo,Nintendo EAD Tokyo,5.69,3.14,1.2,0.72,10.76,92,9.7,9.6,http://www.vgchartz.com/game/6963/super-mario-galaxy/?region=All
45,Super Mario All-Stars,SNES,1993,Platform,Nintendo,Nintendo EAD,5.99,2.15,2.12,0.29,10.55,93,,9.5,http://www.vgchartz.com/game/4432/super-mario-all-stars/?region=All
46,Pokémon FireRed / LeafGreen Version,GBA,2004,Role-Playing,Nintendo,Game Freak  ,4.34,2.65,3.15,0.35,10.49,87,#N/A,,
47,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,Rockstar North,6.21,2.85,0.13,0.99,10.18,91,10,,http://www.vgchartz.com/game/7103/grand-theft-auto-iv/?region=All
48,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,Infinity Ward,4.85,3.36,0.38,1.53,10.12,93.42,9.5,9,http://www.vgchartz.com/game/28848/call-of-duty-modern-warfare-2/?region=All
49,Super Mario 64 DS,DS,2004,Platform,Nintendo,Nintendo EAD,4.81,2.93,1.25,0.95,9.94,88,8.6,,http://www.vgchartz.com/game/2279/super-mario-64-ds/?region=All
50,Mario Kart 64,N64,1996,Racing,Nintendo,Nintendo EAD,5.55,1.94,2.23,0.15,9.87,87.01,8.5,,http://www.vgchartz.com/game/1253/mario-kart-64/?region=All
51,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,Treyarch,4.19,3.67,0.44,1.56,9.86,82.57,,,http://www.vgchartz.com/game/70716/call-of-duty-black-ops-ii/?region=All
52,Just Dance 3,Wii,2011,Misc,Ubisoft,Ubisoft Paris,5.63,3.17,0,0.98,9.78,79,7.5,,http://www.vgchartz.com/game/48264/just-dance-3/?region=All
53,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,SquareSoft,3.01,2.47,3.28,0.96,9.72,92.1,9.6,9.5,http://www.vgchartz.com/game/756/final-fantasy-vii/?region=All
54,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,Rockstar North,4.39,3.38,0.39,1.5,9.66,91,10,,http://www.vgchartz.com/game/7103/grand-theft-auto-iv/?region=All
55,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,Bungie,6.69,1.79,0.08,0.84,9.4,91.79,9.3,,http://www.vgchartz.com/game/35024/halo-reach/?region=All
56,Just Dance 2,Wii,2010,Misc,Ubisoft,Ubisoft Paris,5.68,2.78,0.01,0.91,9.39,78,7.3,,http://www.vgchartz.com/game/45671/just-dance-2/?region=All
57,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,Polyphony Digital,3.88,3.29,1.69,0.5,9.36,92.42,9.2,,http://www.vgchartz.com/game/885/gran-turismo-2/?region=All
58,Donkey Kong Country,SNES,1994,Platform,Nintendo,Rare Ltd.,4.36,1.71,3,0.23,9.3,90,9,,http://www.vgchartz.com/game/3108/donkey-kong-country/?region=All
59,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,Infinity Ward,5.62,2.26,0.13,0.87,8.87,94.16,9.6,9,http://www.vgchartz.com/game/7316/call-of-duty-4-modern-warfare/?region=All
60,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,Polyphony Digital,2.22,4.21,0.8,1.59,8.82,84.33,8.3,,http://www.vgchartz.com/game/7678/gran-turismo-5/?region=All
61,Super Mario Kart,SNES,1992,Racing,Nintendo,Nintendo EAD,3.54,1.24,3.81,0.18,8.76,90,10,,http://www.vgchartz.com/game/4435/super-mario-kart/?region=All
62,Mario Party DS,DS,2007,Misc,Nintendo,Hudson Soft,4.27,1.75,1.98,0.7,8.69,72.17,7.1,,http://www.vgchartz.com/game/6973/mario-party-ds/?region=All
63,Halo 2,XB,2004,Shooter,Microsoft Game Studios,Bungie Studios,6.82,1.53,0.05,0.08,8.49,94.57,9.6,,http://www.vgchartz.com/game/940/halo-2/?region=All
64,Super Mario 3D Land,3DS,2011,Platform,Nintendo,Nintendo EAD Tokyo,3.71,2.14,1.84,0.54,8.23,88,8.9,,http://www.vgchartz.com/game/50395/super-mario-3d-land/?region=All
65,Wii Party,Wii,2010,Misc,Nintendo,"Nd Cube Co., Ltd.",1.68,3.28,2.46,0.67,8.09,70.44,7,,http://www.vgchartz.com/game/45079/wii-party/?region=All
66,GoldenEye 007,N64,1997,Shooter,Nintendo,Rare Ltd.,5.8,2.01,0.13,0.15,8.09,94.59,9.8,,http://www.vgchartz.com/game/877/goldeneye-007/?region=All
67,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,SquareSoft,2.91,2.07,2.73,0.33,8.05,91.73,9,10,http://www.vgchartz.com/game/759/final-fantasy-x/?region=All
68,Myst,PC,1994,Adventure,Red Orb,Cyan Worlds,4.91,2.79,0,0.33,8.03,84,8.9,,http://www.vgchartz.com/game/6359/myst/?region=All
69,Halo 4,X360,2012,Shooter,Microsoft Game Studios,343 Industries,5.46,1.72,0.04,0.72,7.94,87.48,,,http://www.vgchartz.com/game/51758/halo-4/?region=All
70,Mario Party 8,Wii,2007,Misc,Nintendo,Hudson Soft,3.68,1.95,1.58,0.68,7.9,63.04,6.5,,http://www.vgchartz.com/game/6091/mario-party-8/?region=All
71,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Nintendo,Sega,2.55,3.76,0.66,0.9,7.87,74,7,,http://www.vgchartz.com/game/7708/mario-amp-sonic-at-the-olympic-games/?region=All
72,Final Fantasy VIII,PS,1999,Role-Playing,Square,SquareSoft,2.28,1.72,3.63,0.23,7.86,89.17,9.4,,http://www.vgchartz.com/game/758/final-fantasy-viii/?region=All
73,Mario Kart 7,3DS,2011,Racing,Nintendo,Nintendo EAD / Retro Studios,2.95,2.24,2.03,0.49,7.71,85.17,8.2,,http://www.vgchartz.com/game/45691/mario-kart-7/?region=All
74,The Legend of Zelda: Ocarina of Time,N64,1998,Adventure,Nintendo,Nintendo EAD,4.1,1.89,1.45,0.16,7.6,97,9.9,10,http://www.vgchartz.com/game/2399/the-legend-of-zelda-ocarina-of-time/?region=All
75,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,Game Freak  ,2.68,1.62,2.69,0.53,7.52,89,#N/A,,
76,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,Rockstar Leeds,2.84,2.7,0.24,1.69,7.47,87.54,8.8,,http://www.vgchartz.com/game/5165/grand-theft-auto-liberty-city-stories/?region=All
77,Super Mario Bros. 2,NES,1988,Platform,Nintendo,Nintendo EAD,5.39,1.18,0.7,0.19,7.46,82,,,http://www.vgchartz.com/game/6457/super-mario-bros-2/?region=All
78,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,EA Black Box,3.27,2.83,0.08,1.02,7.2,85,8.6,,http://www.vgchartz.com/game/5491/need-for-speed-underground/?region=All
79,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,Namco,3.27,2.22,1.4,0.29,7.16,96.3,9.6,,http://www.vgchartz.com/game/2344/tekken-3/?region=All
80,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,3.96,2.36,0.09,0.71,7.11,93,9.3,,http://www.vgchartz.com/game/49112/the-elder-scrolls-v-skyrim/?region=All
81,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,HAL Laboratory,4.41,1.04,1.39,0.22,7.07,93,9.2,,http://www.vgchartz.com/game/2291/super-smash-bros-melee/?region=All
82,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,Nintendo EAD Tokyo,3.38,2.04,0.98,0.61,7.01,90,9.7,9.8,http://www.vgchartz.com/game/35084/super-mario-galaxy-2/?region=All
83,Just Dance,Wii,2009,Misc,Ubisoft,Ubisoft Paris,3.32,2.9,0,0.74,6.96,68,5.4,,http://www.vgchartz.com/game/40053/just-dance/?region=All
84,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,Nintendo EAD,4.12,1.77,0.87,0.19,6.95,86,8.5,,http://www.vgchartz.com/game/1255/mario-kart-double-dash/?region=All
85,Call of Duty: World at War,X360,2008,Shooter,Activision,Treyarch,4.49,1.77,0,0.66,6.92,85.57,8.5,7.8,http://www.vgchartz.com/game/23992/call-of-duty-world-at-war/?region=All
86,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,EA Black Box,2.71,3.02,0.08,1.09,6.9,85,8.3,,http://www.vgchartz.com/game/5494/need-for-speed-underground-2/?region=All
87,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,EA Los Angeles,2.93,2.75,0.17,0.99,6.83,87,9,,http://www.vgchartz.com/game/6334/medal-of-honor-frontline/?region=All
88,The Legend of Zelda: Twilight Princess,Wii,2006,Adventure,Nintendo,Nintendo EAD,3.56,1.94,0.6,0.66,6.76,94.58,9.5,9.6,http://www.vgchartz.com/game/4573/the-legend-of-zelda-twilight-princess/?region=All
89,Battlefield 3,X360,2011,Shooter,Electronic Arts,Dice,4.06,1.95,0.05,0.65,6.7,84.9,8.5,,http://www.vgchartz.com/game/40231/battlefield-3/?region=All
90,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,Epic Games,4.03,1.87,0.06,0.64,6.6,93.32,9.4,9.5,http://www.vgchartz.com/game/16548/gears-of-war-2/?region=All
91,Big Brain Academy,DS,2005,Misc,Nintendo,Nintendo EAD,1.65,2.7,1.6,0.61,6.56,75.73,7.7,,http://www.vgchartz.com/game/193/big-brain-academy/?region=All
92,The Legend of Zelda,NES,1986,Adventure,Nintendo,Nintendo EAD,3.74,0.93,1.69,0.14,6.51,89,,,http://www.vgchartz.com/game/6925/the-legend-of-zelda/?region=All
93,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,Bungie Studios,4.98,1.3,0.08,0.07,6.43,95.54,9.5,,http://www.vgchartz.com/game/939/halo-combat-evolved/?region=All
94,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,Game Freak  ,2.57,1.58,2.06,0.21,6.41,86,#N/A,,
95,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,Game Freak  ,2.55,1.56,1.29,0.99,6.39,88,#N/A,,
96,Pokemon Black / White Version 2,DS,2012,Role-Playing,Nintendo,#N/A,1.99,1.09,2.97,0.34,6.38,81.31,#N/A,,
97,FIFA Soccer 12,PS3,2011,Sports,Electronic Arts,EA Canada,0.78,4.02,0.11,1.41,6.32,84,9.2,,http://www.vgchartz.com/game/50884/fifa-soccer-12/?region=All
98,Super Mario Sunshine,GC,2002,Platform,Nintendo,Nintendo EAD,4.01,1.26,0.87,0.17,6.31,85,9.2,,http://www.vgchartz.com/game/2281/super-mario-sunshine/?region=All
99,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,Capcom,2.47,0.83,2.87,0.12,6.3,92,,,http://www.vgchartz.com/game/4386/street-fighter-ii-the-world-warrior/?region=All
100,Zumba Fitness,Wii,2010,Sports,505 Games,"Pipeworks Software, Inc.",3.21,2.44,0,0.66,6.3,51,,,http://www.vgchartz.com/game/47163/zumba-fitness/?region=All
101,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,Infinity Ward,2.93,2.12,0.28,0.97,6.3,93.54,9.6,9,http://www.vgchartz.com/game/7316/call-of-duty-4-modern-warfare/?region=All
102,Battlefield 3,PS3,2011,Shooter,Electronic Arts,Dice,2.52,2.44,0.3,1.02,6.27,84.71,8.5,,http://www.vgchartz.com/game/40231/battlefield-3/?region=All
103,Driver,PS,1999,Action,GT Interactive,Reflections Interactive,3.11,2.8,0.02,0.33,6.27,87.52,8.5,,http://www.vgchartz.com/game/590/driver/?region=All
104,World of Warcraft,PC,2004,Role-Playing,Activision,Blizzard Entertainment,3.96,2.29,0,0,6.25,91.89,9.2,8,http://www.vgchartz.com/game/6529/world-of-warcraft/?region=All
105,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,EA Canada,0.84,3.88,0.08,1.36,6.16,80,,,http://www.vgchartz.com/game/70892/fifa-soccer-13/?region=All
106,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,Bungie,4.19,1.29,0.06,0.6,6.14,84.77,8.7,,http://www.vgchartz.com/game/29077/halo-3-odst/?region=All
107,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,Naughty Dog,3.04,1.95,0.21,0.92,6.13,95,9.5,9.6,http://www.vgchartz.com/game/28733/uncharted-2-among-thieves/?region=All
108,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,Konami Computer Entertainment Japan,2.45,2.01,0.87,0.72,6.05,95.04,9.5,7,http://www.vgchartz.com/game/3774/metal-gear-solid-2-sons-of-liberty/?region=All
109,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,Sonic Team,4.47,1.2,0.16,0.19,6.03,90,,,http://www.vgchartz.com/game/6428/sonic-the-hedgehog-2/?region=All
110,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,Konami Computer Entertainment Japan,3.18,1.83,0.78,0.24,6.03,93.75,9.3,,http://www.vgchartz.com/game/1325/metal-gear-solid/?region=All
111,Gears of War,X360,2006,Shooter,Microsoft Game Studios,Epic Games,3.48,1.84,0.07,0.6,5.99,91.49,9.4,9.4,http://www.vgchartz.com/game/843/gears-of-war/?region=All
112,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,Square Enix,1.88,1.19,2.33,0.54,5.95,90.77,9.4,9.5,http://www.vgchartz.com/game/765/final-fantasy-xii/?region=All
113,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,Retro Studios,2.85,1.56,1.03,0.49,5.92,88,8.6,,http://www.vgchartz.com/game/45674/donkey-kong-country-returns/?region=All
114,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,SquareSoft,3.64,1.2,0.94,0.07,5.85,91,8.5,,http://www.vgchartz.com/game/1129/kingdom-hearts/?region=All
115,Resident Evil 2,PS,1998,Action,Virgin Interactive,Capcom,1.88,1.47,2.02,0.45,5.82,93.13,9.3,,http://www.vgchartz.com/game/4159/resident-evil-2/?region=All
116,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,Epic Games,3.72,1.46,0.07,0.54,5.8,91.49,9.1,,http://www.vgchartz.com/game/44123/gears-of-war-3/?region=All
117,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,Naughty Dog,2.43,2.19,0.19,0.93,5.75,91,9.3,6.3,http://www.vgchartz.com/game/49054/uncharted-3-drakes-deception/?region=All
118,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,Kojima Productions,2.54,1.59,0.83,0.78,5.75,93.53,9.3,9.8,http://www.vgchartz.com/game/6970/metal-gear-solid-4-guns-of-the-patriots/?region=All
119,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,Namco,2.26,1.89,1.36,0.23,5.74,86,9.1,,http://www.vgchartz.com/game/2343/tekken-2/?region=All
120,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,Level 5,0.54,0.63,4.35,0.15,5.67,87.98,8.6,,http://www.vgchartz.com/game/7147/dragon-quest-ix-sentinels-of-the-starry-skies/?region=All
121,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,Nintendo,1.94,1.41,1.98,0.31,5.64,78.4,7.5,,http://www.vgchartz.com/game/70735/new-super-mario-bros-2/?region=All
122,Tetris,NES,1988,Puzzle,Nintendo,Bullet Proof Software,2.97,0.69,1.81,0.11,5.58,86,,,http://www.vgchartz.com/game/4534/tetris/?region=All
123,Super Smash Bros.,N64,1999,Fighting,Nintendo,HAL Laboratory,2.95,0.6,1.97,0.04,5.55,89,8.4,,http://www.vgchartz.com/game/2290/super-smash-bros/?region=All
124,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,Rare Ltd.,3.47,1.51,0.03,0.53,5.54,76,7.4,,http://www.vgchartz.com/game/45607/kinect-sports/?region=All
125,Super Mario Advance,GBA,2001,Platform,Nintendo,Nintendo EAD,3.14,1.24,0.91,0.2,5.49,82,8.2,,http://www.vgchartz.com/game/4428/super-mario-advance/?region=All
126,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,Intelligent Systems,2.62,1.64,0.99,0.23,5.47,83,9.3,,http://www.vgchartz.com/game/3715/mario-kart-super-circuit/?region=All
127,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,Rockstar San Diego,3.19,1.65,0.09,0.53,5.46,93,9.5,,http://www.vgchartz.com/game/31326/red-dead-redemption/?region=All
128,Super Mario World: Super Mario Advance 2,GBA,2001,Platform,Nintendo,Nintendo EAD,3.21,1.11,0.95,0.2,5.46,93,9.4,,http://www.vgchartz.com/game/4429/super-mario-world-super-mario-advance-2/?region=All
129,Cooking Mama,DS,2006,Simulation,505 Games,Office Create,2.93,1.88,0.07,0.57,5.46,67.67,6.6,,http://www.vgchartz.com/game/399/cooking-mama/?region=All
130,Pokémon Stadium,N64,1999,Strategy,Nintendo,HAL Laboratory  ,3.18,1.24,0.94,0.09,5.45,73,#N/A,,
131,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,Traveller's Tales,2.07,2.29,0.24,0.82,5.42,70.12,6.9,,http://www.vgchartz.com/game/4987/crash-bandicoot-the-wrath-of-cortex/?region=All
132,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,Rockstar San Diego,2.36,2.02,0.17,0.83,5.37,93,9.5,,http://www.vgchartz.com/game/31326/red-dead-redemption/?region=All
133,Assassin's Creed II,PS3,2009,Action,Ubisoft,Ubisoft Montreal,2.3,1.99,0.21,0.86,5.36,90.71,9,,http://www.vgchartz.com/game/29053/assassins-creed-ii/?region=All
134,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,Capcom Production Studio 1,0.44,0.49,4.13,0.31,5.35,82.12,7.7,9.7,http://www.vgchartz.com/game/18542/monster-hunter-freedom-unite/?region=All
135,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,Turn 10 Studios,2.89,1.83,0.1,0.53,5.35,92.26,9.2,9.8,http://www.vgchartz.com/game/30434/forza-motorsport-3/?region=All
136,Dr. Mario,GB,1989,Puzzle,Nintendo,Nintendo R&D1,2.18,0.96,2,0.2,5.34,77,,,http://www.vgchartz.com/game/3127/dr-mario/?region=All
137,Just Dance 4,Wii,2012,Misc,Ubisoft,Ubisoft,3.03,1.78,0,0.51,5.32,57,,,http://www.vgchartz.com/game/70917/just-dance-4/?region=All
138,Pokémon Pinball,GB,1999,Misc,Nintendo,Jupiter Corporation  ,3.02,1.12,1.01,0.16,5.31,80,#N/A,,
139,Final Fantasy IX,PS,2000,Role-Playing,Square,SquareSoft,1.62,0.77,2.78,0.14,5.3,83,9.2,,http://www.vgchartz.com/game/752/final-fantasy-ix/?region=All
140,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,Square Enix,1.92,1.08,2.11,0.17,5.29,86.25,8.3,,http://www.vgchartz.com/game/760/final-fantasy-x-2/?region=All
141,Donkey Kong 64,N64,1999,Platform,Nintendo,Rare Ltd.,3.33,0.79,1.09,0.06,5.27,88,9.3,,http://www.vgchartz.com/game/552/donkey-kong-64/?region=All
142,Assassin's Creed,X360,2007,Adventure,Ubisoft,Ubisoft Montreal,3.1,1.57,0.07,0.53,5.27,82.92,8.2,8,http://www.vgchartz.com/game/12728/assassins-creed/?region=All
