rank,game_title,platform,year,genre,publisher,developer,north_america,europe,japan,rest_of_world,global,review,critic_score,user_score,url
1601,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,2004,Misc,Sammy Corporation,Sammy Studios,0,0,1,0,1,58,,,http://www.vgchartz.com/game/6306/jissen-pachi-slot-hisshouhou-hokuto-no-ken/?region=All
1602,SoulCalibur II,XB,2003,Fighting,Electronic Arts,Namco,0.78,0.18,0.03,0,1,87,9.2,,http://www.vgchartz.com/game/2116/soulcalibur-ii/?region=All
1603,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,2006,Sports,Konami Digital Entertainment,Konami Computer Entertainment Tokyo,0.08,0.9,0.02,0,1,79.13,,,http://www.vgchartz.com/game/7552/winning-eleven-pro-evolution-soccer-2007-all-region-sales/?region=All
1604,Road & Track Presents: The Need for Speed,PS,1995,Racing,Electronic Arts,EA Canada,0.56,0.38,0,0.07,1,84,,,http://www.vgchartz.com/game/1568/road-amp-track-presents-the-need-for-speed/?region=All
1605,NFL GameDay 2001,PS,2000,Sports,Sony Computer Entertainment,989 Sports,0.56,0.38,0,0.07,1,76,,,http://www.vgchartz.com/game/1598/nfl-gameday-2001/?region=All
1606,Aliens vs Predator,X360,2010,Shooter,Sega,Rebellion Developments,0.52,0.37,0,0.1,1,65.89,6.2,,http://www.vgchartz.com/game/35320/aliens-vs-predator/?region=All
1607,Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,Ubisoft,Red Storm Entertainment / Ubisoft Paris,0.33,0.46,0.02,0.18,1,86.59,,,http://www.vgchartz.com/game/12300/tom-clancys-ghost-recon-advanced-warfighter-2/?region=All
1608,NBA Live 97,PS,1996,Sports,Electronic Arts,Electronic Arts,0.55,0.38,0,0.07,1,78,,,http://www.vgchartz.com/game/1536/nba-live-97/?region=All
1609,NERF N-Strike Elite,Wii,2009,Shooter,Electronic Arts,EA Salt Lake,0.92,0,0,0.08,1,86,7.5,,http://www.vgchartz.com/game/36473/nerf-n-strike-elite/?region=All
1610,Rock Band 2,Wii,2008,Misc,MTV Games,Harmonix Music Systems,0.92,0,0,0.08,1,88,9.2,,http://www.vgchartz.com/game/24279/rock-band-2/?region=All
1611,Dynasty Warriors 3: Xtreme Legends,PS2,2002,Action,Tecmo Koei,Omega Force,0.13,0.1,0.74,0.03,1,76.01,,,http://www.vgchartz.com/game/3191/dynasty-warriors-3-xtreme-legends/?region=All
1612,Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,8ting/Raizing,0.44,0.45,0,0.11,1,79,,,http://www.vgchartz.com/game/12356/naruto-clash-of-ninja-revolution/?region=All
1613,Prince of Persia,PS3,2008,Adventure,Ubisoft,Ubisoft Montreal,0.45,0.36,0.03,0.16,1,74,8.3,8.2,http://www.vgchartz.com/game/24825/prince-of-persia/?region=All
1614,Jampack Winter 2000,PS,2000,Misc,Sony Computer Entertainment,Sony Computer Entertainment America,0.55,0.38,0,0.07,1,56,,,http://www.vgchartz.com/game/42506/jampack-winter-2000/?region=All
1615,NFL Fever 2002,XB,2000,Sports,Microsoft Game Studios,Microsoft,0.74,0.21,0,0.04,0.99,79,,,http://www.vgchartz.com/game/1593/nfl-fever-2002/?region=All
1616,The Simpsons: Hit & Run,GC,2003,Racing,Vivendi Games,Radical Entertainment,0.77,0.2,0,0.03,0.99,80.55,7.7,,http://www.vgchartz.com/game/6419/the-simpsons-hit-amp-run/?region=All
1617,DJ Hero,X360,2009,Misc,Activision,FreeStyleGames,0.5,0.39,0,0.1,0.99,84.89,8.4,,http://www.vgchartz.com/game/34271/dj-hero/?region=All
1618,Star Wars: The Force Unleashed,PSP,2008,Action,LucasArts,LucasArts,0.41,0.35,0,0.22,0.99,83,7.1,,http://www.vgchartz.com/game/13961/star-wars-the-force-unleashed/?region=All
1619,Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,Namco Bandai Games,CyberConnect2,0.46,0.3,0.09,0.14,0.99,87,7.8,,http://www.vgchartz.com/game/18886/naruto-ultimate-ninja-storm/?region=All
1620,Oddworld: Abe's Exoddus,PS,1998,Platform,GT Interactive,Oddworld Inhabitans,0.55,0.38,0,0.06,0.99,90,8.6,,http://www.vgchartz.com/game/7116/oddworld-abes-exoddus/?region=All
