rank,game_title,platform,year,genre,publisher,developer,critic_score,user_score,north_america,europe,japan,rest_of_world,global
1,Wii Sports,Wii,2006,Sports,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65
2,Super Mario Bros.,NES,1985,Platform,Nintendo  ,Nintendo EAD  ,10,8.2,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Wii,2008,Racing,Nintendo  ,Nintendo EAD  ,8.2,9.1,15.91,12.92,3.8,3.35,35.98
4,Wii Sports Resort,Wii,2009,Sports,Nintendo  ,Nintendo EAD  ,8,8.8,15.61,10.99,3.29,3.02,32.9
5,Pokémon Red / Green / Blue Version,GB,1998,Role-Playing,Nintendo  ,Game Freak  ,9.4,,11.27,8.89,10.22,1,31.37
6,Tetris,GB,1989,Puzzle,Nintendo,Bullet Proof Software,,,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,DS,2006,Platform,Nintendo  ,Nintendo EAD  ,9.1,8.1,11.28,9.19,6.5,2.89,29.85
8,Wii Play,Wii,2007,Misc,Nintendo  ,Nintendo EAD  ,5.9,4.5,13.96,9.18,2.93,2.85,28.92
9,Wii Play,Wii,2006,Misc,Nintendo,Nintendo EAD,5.9,4.5,13.83,9.11,2.93,2.84,28.71
10,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo  ,Nintendo EAD  ,8.6,9.2,14.53,7.01,4.7,2.27,28.51
11,Duck Hunt,NES,1984,Shooter,Nintendo,Nintendo R&D1,,,26.93,0.63,0.28,0.47,28.31
12,Nintendogs,DS,2005,Simulation,Nintendo  ,Nintendo EAD  ,8.4,,9.05,10.96,1.93,2.74,24.68
13,Mario Kart DS,DS,2005,Racing,Nintendo  ,Nintendo EAD  ,9.1,9.4,9.71,7.51,4.13,1.91,23.26
14,Pokémon Gold / Silver Version,GB,1999,Role-Playing,Nintendo,Game Freak  ,,,9,6.18,7.2,0.71,23.1
15,Pokémon Gold / Silver Version,GB,2000,Role-Playing,Nintendo  ,Game Freak  ,9.2,,9,6.18,7.2,0.71,23.1
16,Wii Fit,Wii,2007,Sports,Nintendo,Nintendo EAD,7.9,,8.91,8.15,3.6,2.08,22.74
17,Wii Fit,Wii,2008,Sports,Nintendo  ,Nintendo EAD  ,7.9,,8.92,8.03,3.6,2.15,22.7
18,Kinect Adventures!,X360,2010,Party,Microsoft Game Studios  ,Good Science Studio  ,6.7,,15.09,4.97,0.24,1.81,22.1
19,Wii Fit Plus,Wii,2009,Sports,Nintendo  ,Nintendo EAD  ,8,,9.01,8.51,2.53,1.76,21.81
20,Grand Theft Auto: San Andreas,PS2,2004,Action,Rockstar Games  ,Rockstar North  ,9.5,,9.43,0.4,0.41,10.57,20.81
21,Super Mario World,SNES,1990,Platform,Nintendo,Nintendo EAD,8.5,,12.78,3.75,3.54,0.55,20.61
22,Super Mario World,SNES,1991,Platform,Nintendo  ,Nintendo EAD  ,8.5,,12.78,3.75,3.54,0.55,20.61
23,Grand Theft Auto V,PS3,2013,Action,Rockstar Games  ,Rockstar North  ,9.4,,6.37,9.85,0.99,3.12,20.32
24,Brain Age: Train Your Brain in Minutes a Day,DS,2006,Misc,Nintendo  ,Nintendo SDD  ,8.1,,4.74,9.21,4.16,2.04,20.16
25,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,Nintendo SDD,8.1,,4.72,9.1,4.16,2.04,20.02
26,Grand Theft Auto V,PS4,2014,Action,Rockstar Games  ,Rockstar North  ,9.7,,6.06,9.71,0.6,3.02,19.39
27,Pokémon Diamond / Pearl Version,DS,2007,Role-Playing,Nintendo  ,Game Freak  ,8.6,,6.38,4.47,6.04,1.36,18.25
28,Super Mario Land,GB,1989,Platform,Nintendo,Nintendo R&D1,,,10.83,2.71,4.18,0.42,18.14
29,Pokémon Diamond / Pearl Version,DS,2006,Role-Playing,Nintendo,Game Freak  ,,,6.32,4.34,6.04,1.35,18.05
30,Super Mario Bros. 3,NES,1988,Platform,Nintendo,Nintendo R&D2,,,9.54,3.44,3.84,0.46,17.28
31,Grand Theft Auto: Vice City,PS2,2002,Action,Rockstar Games  ,Rockstar North  ,9.6,,8.41,5.49,0.47,1.78,16.15
32,Pokémon X/Y,3DS,2013,Role-Playing,Nintendo  ,Game Freak  ,8.9,9.3,5.68,5.06,4.4,0.99,16.13
33,Pokémon Ruby / Sapphire Version,GBA,2002,Role-Playing,Nintendo,Game Freak  ,,,6.06,3.9,5.38,0.5,15.85
34,Pokémon Ruby / Sapphire Version,GBA,2003,Role-Playing,Nintendo  ,Game Freak  ,8.8,,6.06,3.9,5.38,0.5,15.85
35,Mario Kart 7,3DS,2011,Racing,Nintendo  ,Nintendo EAD / Retro Studios  ,8.2,,6.03,5.35,3,1.11,15.49
36,Brain Age 2: More Training in Minutes a Day,DS,2007,Misc,Nintendo  ,Nintendo SDD  ,8,,3.43,5.36,5.32,1.18,15.29
37,Brain Age 2: More Training in Minutes a Day,DS,2005,Misc,Nintendo,Nintendo SDD,8,,3.41,5.32,5.32,1.18,15.24
38,Pokémon Black / White Version,DS,2011,Role-Playing,Nintendo  ,Game Freak  ,8.6,9,5.51,3.2,5.66,0.8,15.18
39,Pokémon Sun/Moon,3DS,2016,Role-Playing,Nintendo  ,Game Freak  ,9,,6.02,4.34,3.82,0.99,15.17
40,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.3,,6.85,5.09,1.87,1.16,14.98
41,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision  ,Infinity Ward  ,8.7,,9.07,4.29,0.13,1.33,14.82
42,Call of Duty: Black Ops,X360,2010,Shooter,Activision  ,Treyarch  ,8.8,,9.76,3.73,0.11,1.14,14.74
43,Pokémon Black / White Version,DS,2010,Role-Playing,Nintendo,Game Freak  ,,,5.3,2.81,5.64,0.89,14.64
44,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,Game Freak  ,,,5.89,5.04,3.12,0.59,14.64
45,Pokémon Yellow: Special Pikachu Edition,GB,1999,Role-Playing,Nintendo  ,Game Freak  ,8.7,,5.89,5.04,3.12,0.59,14.64
46,Red Dead Redemption 2,PS4,2018,Action-Adventure,Rockstar Games  ,Rockstar Games  ,9.8,,5.26,6.21,0.21,2.26,13.94
47,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision  ,Infinity Ward  ,9.5,9,8.54,3.63,0.08,1.28,13.53
48,Call of Duty: WWII,PS4,2017,Shooter,Activision  ,Sledgehammer Games  ,8,,4.67,6.21,0.4,2.12,13.4
49,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision  ,Infinity Ward  ,8.8,,5.54,5.78,0.49,1.54,13.35
50,Grand Theft Auto III,PS2,2001,Action,Rockstar Games  ,DMA Design  ,9.5,,6.99,4.51,0.3,1.3,13.1
51,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo  ,Nintendo EPD  ,9.3,,5.05,4.98,2.11,0.91,13.05
52,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo  ,Project Sora  ,9.2,9.7,6.64,2.57,2.67,1.03,12.91
53,Call of Duty: Black Ops,PS3,2010,Shooter,Activision  ,Treyarch  ,8.7,,6.01,4.4,0.48,1.78,12.67
54,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo  ,Nintendo EAD  ,8.5,,2.5,3.46,5.33,0.86,12.14
55,Halo 3,X360,2007,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,9.5,7.97,2.81,0.13,1.21,12.13
56,Super Mario 64,N64,1996,Platform,Nintendo  ,Nintendo EAD  ,9.7,9.2,6.91,2.85,1.91,0.23,11.89
57,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,Treyarch,,,7.25,3.42,0.04,1.14,11.85
58,FIFA 18,PS4,2017,Sports,EA Sports  ,EA Vancouver  ,8.3,,1.27,8.64,0.15,1.73,11.8
59,Pokémon Heart Gold / Soul Silver Version,DS,2010,Role-Playing,Nintendo  ,Game Freak  ,8.6,,4.34,2.72,3.96,0.76,11.78
60,Super Mario Odyssey,NS,2017,Platform,Nintendo  ,Nintendo EPD  ,9.9,,5.1,3.75,2.02,0.84,11.71
61,Gran Turismo 4,PS2,2005,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,8.7,,3.01,0.01,1.1,7.53,11.66
62,Super Mario 3D Land,3DS,2011,Platform,Nintendo  ,Nintendo EAD Tokyo  ,8.9,,5.1,3.46,2.15,0.85,11.56
63,Pokémon Heart Gold / Soul Silver Version,DS,2009,Role-Playing,Nintendo,Game Freak  ,,,4.2,2.59,3.96,0.77,11.51
64,Super Mario Galaxy,Wii,2007,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.6,6.06,3.38,1.2,0.76,11.4
65,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,Polyphony Digital,8.7,,3.01,5.63,1.1,1.62,11.36
66,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo  ,Nintendo  ,7.5,,3.95,4.07,2.59,0.72,11.33
67,The Sims,PC,2000,Simulation,Electronic Arts,Edge of Reality,,,11.22,0.01,0,0,11.23
68,Super Mario Land 2: 6 Golden Coins,GB,1992,Platform,Nintendo  ,Nintendo R&D1  ,9,,6.16,2.04,2.69,0.29,11.18
69,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,Polyphony Digital,9.5,,4.22,3.87,2.54,0.52,11.15
70,Grand Theft Auto IV,X360,2008,Action,Rockstar Games  ,Rockstar North  ,10,,6.8,3.11,0.14,1.04,11.09
71,Gran Turismo,PS,1998,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.5,,4.02,3.87,2.54,0.52,10.95
72,FIFA 17,PS4,2016,Sports,Electronic Arts  ,EA Canada  ,8.9,,1.26,7.95,0.12,1.61,10.94
73,Animal Crossing: New Leaf,3DS,2013,Simulation,Nintendo  ,Nintendo EAD  ,8.6,,2.46,3.06,4.9,0.48,10.9
74,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,8.3,,2.96,4.87,0.81,2.1,10.75
75,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision  ,Infinity Ward  ,9.5,,4.99,3.66,0.38,1.59,10.61
76,Grand Theft Auto IV,PS3,2008,Action,Rockstar Games  ,Rockstar North  ,10,9,4.79,3.73,0.44,1.62,10.57
77,Super Mario All-Stars,SNES,1993,Platform,Nintendo,Nintendo EAD,,9.5,5.99,2.15,2.12,0.29,10.55
78,Pokémon FireRed / LeafGreen Version,GBA,2004,Role-Playing,Nintendo  ,Game Freak  ,8.3,,4.34,2.65,3.15,0.35,10.49
79,Call of Duty: Ghosts,X360,2013,Shooter,Activision  ,Infinity Ward  ,6.9,,6.76,2.64,0.04,0.98,10.41
80,Uncharted 4: A Thief's End,PS4,2016,Action,Sony Interactive Entertainment  ,Naughty Dog  ,9.2,,4.49,3.93,0.21,1.7,10.33
81,Just Dance 3,Wii,2011,Misc,Ubisoft  ,Ubisoft Paris  ,7.5,,5.95,3.13,,1.06,10.14
82,Call of Duty: Ghosts,PS3,2013,Shooter,Activision  ,Infinity Ward  ,7.5,,4.11,4.01,0.39,1.62,10.13
83,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios  ,Bungie  ,9.3,,7.08,2.01,0.08,0.8,9.97
84,Mario Kart 64,N64,1996,Racing,Nintendo,Nintendo EAD,8.5,,5.55,1.94,2.23,0.15,9.87
85,Mario Kart 64,N64,1997,Racing,Nintendo  ,Nintendo EAD  ,8.5,,5.55,1.94,2.23,0.15,9.87
86,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,Treyarch,,,4.19,3.67,0.44,1.56,9.86
87,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment  ,SquareSoft  ,9.6,9.5,3.01,2.47,3.28,0.96,9.72
88,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.2,,3.88,3.42,1.69,0.5,9.49
89,The Legend of Zelda: Breath of the Wild,NS,2017,Action-Adventure,Nintendo  ,Nintendo EPD  ,9.9,10,4.54,2.94,1.26,0.73,9.46
90,Just Dance 2,Wii,2010,Misc,Ubisoft  ,Ubisoft Paris  ,7.3,,5.8,2.86,0.01,0.77,9.45
91,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision  ,Infinity Ward  ,9.6,9,5.98,2.39,0.13,0.91,9.41
92,Donkey Kong Country,SNES,1994,Platform,Nintendo  ,Rare Ltd.  ,9,,4.36,1.71,3,0.23,9.3
93,Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo  ,Bandai Namco Games  ,9.4,9.7,4.22,1.72,2.41,0.61,8.95
94,Mario Party DS,DS,2007,Misc,Nintendo  ,Hudson Soft  ,7.1,,4.4,1.86,1.98,0.69,8.93
95,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.3,,5.1,2.83,0.1,0.85,8.88
96,Super Mario Kart,SNES,1992,Racing,Nintendo  ,Nintendo EAD  ,10,,3.54,1.24,3.81,0.18,8.76
97,Marvel's Spider-Man,PS4,2018,Action-Adventure,Sony Interactive Entertainment  ,Insomniac Games  ,9.1,,3.64,3.39,0.32,1.41,8.76
98,Grand Theft Auto V,XOne,2014,Action,Rockstar Games  ,Rockstar North  ,9,9,4.7,3.25,0.01,0.76,8.72
99,Halo 2,XB,2004,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,,6.82,1.53,0.05,0.08,8.49
100,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,8.6,,2.91,3.97,0.27,1.34,8.48
101,Wii Party,Wii,2010,Misc,Nintendo  ,"Nd Cube Co., Ltd.  ",7,,1.75,3.51,2.49,0.66,8.41
102,Super Smash Bros. for 3DS,3DS,2014,Fighting,Nintendo  ,Bandai Namco Games  ,8.4,,3.73,1.5,2.55,0.54,8.32
103,Mario Party 8,Wii,2007,Misc,Nintendo  ,Hudson Soft  ,6.5,,3.74,2.27,1.58,0.7,8.3
104,FIFA 16,PS4,2015,Sports,EA Sports  ,EA Canada  ,8.5,,1.15,5.77,0.07,1.23,8.22
105,Pokémon Black 2 and White 2,DS,2012,Role-Playing,Nintendo  ,Game Freak  ,8,8.3,2.79,1.79,3.16,0.43,8.16
106,GoldenEye 007,N64,1997,Shooter,Nintendo  ,Rare Ltd.  ,9.8,,5.8,2.01,0.13,0.15,8.09
107,Final Fantasy X,PS2,2001,Role-Playing,Square  ,SquareSoft  ,9,10,2.91,2.07,2.73,0.33,8.05
108,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts  ,EA DICE  ,7.1,,3.31,3.19,0.23,1.3,8.03
109,Myst,PC,1994,Adventure,Red Orb,Cyan Worlds,8.9,,4.91,2.79,0,0.33,8.03
110,The Sims 3,PC,2009,Simulation,Electronic Arts  ,EA Redwood Shores  ,8.5,,1.01,6.46,,0.5,7.96
111,Halo 4,X360,2012,Shooter,Microsoft Game Studios,343 Industries,,,5.46,1.72,0.04,0.72,7.94
112,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Nintendo,Sega,7,,2.55,3.76,0.66,0.9,7.87
113,Final Fantasy VIII,PS,1999,Role-Playing,Square EA  ,SquareSoft  ,9.4,,2.28,1.72,3.63,0.23,7.86
114,Pokémon Platinum Version,DS,2009,Role-Playing,Nintendo  ,Game Freak  ,8.3,8.9,2.76,1.73,2.69,0.54,7.72
115,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Rockstar Games  ,Rockstar Leeds  ,8.8,,2.9,2.83,0.24,1.74,7.72
116,Mario Kart 8,WiiU,2014,Racing,Nintendo  ,Nintendo  ,8.8,,3.22,2.55,1.39,0.54,7.69
117,The Legend of Zelda: Ocarina of Time,N64,1998,Adventure,Nintendo  ,Nintendo EAD  ,9.9,10,4.1,1.89,1.45,0.16,7.6
118,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment  ,Naughty Dog  ,8.6,,3.78,2.17,1.31,0.31,7.58
119,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.8,3.59,2.37,0.98,0.62,7.57
120,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision  ,Sledgehammer Games  ,8.5,,2.84,3.34,0.14,1.22,7.53
121,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,Game Freak  ,,,2.68,1.62,2.69,0.53,7.52
122,Call of Duty: World at War,X360,2008,Shooter,Activision  ,Treyarch  ,8.5,7.8,4.88,1.91,,0.71,7.5
123,Super Mario Bros. 2,NES,1988,Platform,Nintendo,Nintendo EAD,,,5.39,1.18,0.7,0.19,7.46
124,Battlefield 3,X360,2011,Shooter,Electronic Arts  ,Dice  ,8.5,,4.47,2.12,0.06,0.69,7.35
125,Battlefield 1,PS4,2016,Shooter,Electronic Arts  ,EA DICE  ,9.1,,2.2,3.65,0.29,1.12,7.26
126,Battlefield 3,PS3,2011,Shooter,Electronic Arts  ,Dice  ,8.5,,2.86,2.94,0.35,1.07,7.21
127,Just Dance,Wii,2009,Misc,Ubisoft  ,Ubisoft Paris  ,5.4,,3.48,2.99,,0.73,7.21
128,Need for Speed Underground,PS2,2003,Racing,Electronic Arts  ,EA Black Box  ,8.6,,3.27,2.83,0.08,1.02,7.2
129,The Legend of Zelda: Twilight Princess,Wii,2006,Adventure,Nintendo  ,Nintendo EAD  ,9.5,9.6,3.74,2.16,0.6,0.69,7.18
130,Tekken 3,PS,1998,Fighting,Namco  ,Namco  ,9.6,,3.27,2.22,1.4,0.29,7.16
131,Pokémon: Ultra Sun and Ultra Moon,3DS,2017,Role-Playing,Nintendo  ,Game Freak  ,8.1,,2.46,1.74,2.55,0.4,7.15
132,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment  ,Naughty Dog  ,9.3,,3.68,1.75,1.42,0.28,7.13
133,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo  ,HAL Laboratory  ,9.2,,4.41,1.04,1.39,0.22,7.07
134,Splatoon 2,NS,2017,Shooter,Nintendo  ,Nintendo EPD  ,8.2,,1.9,1.8,3.01,0.34,7.04
135,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo  ,Nintendo EAD  ,8.5,,4.12,1.77,0.87,0.19,6.95
136,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts  ,EA Black Box  ,8.3,,2.71,3.02,0.08,1.09,6.9
137,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.3,6.3,2.77,2.81,0.19,1.06,6.84
138,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts  ,EA Los Angeles  ,9,,2.93,2.75,0.17,0.99,6.83
139,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment  ,Naughty Dog  ,7.8,,3.23,2.35,0.94,0.3,6.82
140,The Last of Us Remastered,PS4,2014,Action-Adventure,Sony Computer Entertainment  ,Naughty Dog  ,9.5,,2.7,2.86,0.11,1.1,6.77
141,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios  ,Epic Games  ,9.4,9.5,4.15,1.91,0.06,0.64,6.75
142,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.5,9.6,3.28,2.22,0.21,1.02,6.74
143,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision  ,Infinity Ward  ,9.5,9.6,3.13,2.27,0.28,1.04,6.72
144,FIFA Soccer 12,PS3,2011,Sports,EA Sports  ,EA Canada  ,9.2,,0.84,4.33,0.11,1.37,6.65
145,Big Brain Academy,DS,2006,Misc,Nintendo  ,Nintendo EAD  ,7.7,,1.66,2.75,1.6,0.62,6.63
146,Red Dead Redemption,PS3,2011,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,,2.82,2.58,0.17,1,6.57
147,Big Brain Academy,DS,2005,Misc,Nintendo,Nintendo EAD,7.7,,1.65,2.7,1.6,0.61,6.56
148,The Legend of Zelda,NES,1986,Adventure,Nintendo,Nintendo EAD,,,3.74,0.93,1.69,0.14,6.51
149,The Legend of Zelda,NES,1987,Adventure,Nintendo  ,Nintendo EAD  ,9,,3.74,0.93,1.69,0.14,6.51
150,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo  ,Retro Studios  ,8.6,,3.19,1.81,1.03,0.47,6.5
151,Red Dead Redemption,X360,2010,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,10,3.77,2.03,0.09,0.6,6.5
152,Assassin's Creed III,PS3,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.8,,2.65,2.61,0.16,1.08,6.5
153,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9,,2.57,2.68,0.25,0.99,6.49
154,Halo: Combat Evolved,XB,2001,Shooter,Microsoft  ,Bungie Studios  ,9.5,,4.98,1.3,0.08,0.07,6.43
155,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,Game Freak  ,,,2.57,1.58,2.06,0.21,6.41
156,Pokémon Emerald Version,GBA,2005,Role-Playing,Nintendo  ,Game Freak  ,7.7,,2.57,1.58,2.06,0.21,6.41
157,Kingdom Hearts,PS2,2002,Role-Playing,Square EA  ,SquareSoft  ,8.5,,3.64,1.2,1.49,0.07,6.4
158,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,Game Freak  ,,,2.55,1.56,1.29,0.99,6.39
159,Pokémon Crystal Version,GBC,2001,Role-Playing,Nintendo  ,Game Freak  ,8.7,,2.55,1.56,1.29,0.99,6.39
160,Pokemon Black / White Version 2,DS,2012,Role-Playing,Nintendo,Nintendo EAD,,,1.99,1.09,2.97,0.34,6.38
161,World of Warcraft,PC,2004,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.2,8,0.12,6.24,,,6.35
162,Minecraft,PS4,2014,Misc,Sony Computer Entertainment  ,Mojang  ,9.4,,1.89,3.13,0.35,0.96,6.33
163,FIFA 15,PS4,2014,Sports,EA Sports  ,EA Canada  ,8.1,,0.83,4.49,0.05,0.94,6.32
164,Super Mario Sunshine,GC,2002,Platform,Nintendo  ,Nintendo EAD  ,9.2,,4.01,1.26,0.87,0.17,6.31
165,Zumba Fitness,Wii,2010,Sports,505 Games,"Pipeworks Software, Inc.",,,3.21,2.44,0,0.66,6.3
166,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,Capcom,,,2.47,0.83,2.87,0.12,6.3
167,Driver,PS,1999,Action,GT Interactive  ,Reflections Interactive  ,8.5,,3.11,2.8,0.02,0.33,6.27
168,The Last of Us,PS3,2013,Action-Adventure,Sony Computer Entertainment America  ,Naughty Dog  ,9.5,,2.41,2.57,0.29,0.99,6.27
169,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,EA Canada,,,0.84,3.88,0.08,1.36,6.16
170,God of War (2018),PS4,2018,Action,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,9.7,10,2.83,2.17,0.13,1.02,6.15
171,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,Bungie,8.7,,4.19,1.29,0.06,0.6,6.14
172,Gears of War,X360,2006,Shooter,Microsoft Game Studios  ,Epic Games  ,9.4,9.4,3.54,1.88,0.07,0.6,6.09
173,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami  ,Konami Computer Entertainment Japan  ,9.5,7,2.45,2.01,0.87,0.72,6.05
174,Metal Gear Solid,PS,1998,Action,Konami  ,Konami Computer Entertainment Japan  ,9.3,,3.18,1.83,0.78,0.24,6.03
175,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,Sonic Team,,,4.47,1.2,0.16,0.19,6.03
176,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami  ,Kojima Productions  ,9.3,9.8,2.63,1.72,0.83,0.81,6
177,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix  ,Square Enix  ,9.4,9.5,1.88,0,2.33,1.74,5.95
178,Tomodachi Life,3DS,2014,Simulation,Nintendo  ,Nintendo  ,7.8,,0.97,2.64,1.98,0.28,5.88
179,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment  ,Media Molecule  ,9.4,9.2,2.8,2.01,0.17,0.87,5.85
180,Resident Evil 2,PS,1998,Action,Capcom  ,Capcom  ,9.3,,1.88,1.47,2.02,0.45,5.82
181,Horizon: Zero Dawn,PS4,2017,Action-Adventure,Sony Interactive Entertainment  ,Guerrilla Games  ,9.1,8,2.2,2.43,0.28,0.92,5.82
182,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,Epic Games,9.1,,3.72,1.46,0.07,0.54,5.8
183,Dragon Quest IX: Sentinels of the Starry Skies,DS,2010,Role-Playing,Nintendo  ,Level 5  ,8.6,,0.63,0.67,4.35,0.15,5.79
184,Tekken 2,PS,1996,Fighting,Namco  ,Namco  ,9.1,,2.26,1.89,1.36,0.23,5.74
185,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,Level 5,8.6,,0.54,0.63,4.35,0.15,5.67
186,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts  ,Traveller's Tales  ,8,,3.57,1.57,,0.52,5.66
187,Cooking Mama,DS,2006,Simulation,Majesco  ,Office Create  ,6.6,,3.09,1.92,0.07,0.58,5.66
188,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo  ,Nintendo EAD  ,8.4,,2.3,1.63,1.32,0.38,5.62
189,Tetris,NES,1988,Puzzle,Nintendo,Bullet Proof Software,,,2.97,0.69,1.81,0.11,5.58
190,Assassin's Creed II,PS3,2009,Action,Ubisoft  ,Ubisoft Montreal  ,9,,2.54,1.95,0.21,0.86,5.57
191,Super Smash Bros.,N64,1999,Fighting,Nintendo  ,HAL Laboratory  ,8.4,,2.95,0.6,1.97,0.04,5.55
192,Assassin's Creed,X360,2007,Action,Ubisoft  ,Ubisoft Montreal  ,8.2,8,3.28,1.64,0.07,0.56,5.55
193,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,Rare Ltd.,7.4,,3.47,1.51,0.03,0.53,5.54
194,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,9.6,,2.72,1.89,0.11,0.82,5.54
195,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.2,9.8,2.99,1.9,0.1,0.51,5.5
196,Super Mario Advance,GBA,2001,Platform,Nintendo  ,Nintendo EAD  ,8.2,,3.14,1.24,0.91,0.2,5.49
197,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo  ,Intelligent Systems  ,9.3,,2.62,1.64,0.99,0.23,5.47
198,Super Mario World: Super Mario Advance 2,GBA,2001,Platform,Nintendo,Nintendo EAD,9.4,,3.21,1.11,0.95,0.2,5.46
199,Super Mario World: Super Mario Advance 2,GBA,2002,Platform,Nintendo  ,Nintendo EAD  ,9.4,,3.21,1.11,0.95,0.2,5.46
200,Pokémon Stadium,N64,1999,Strategy,Nintendo,HAL Laboratory  ,,,3.18,1.24,0.94,0.09,5.45
201,Pokémon Stadium,N64,2000,Strategy,Nintendo  ,HAL Laboratory  ,7.5,,3.18,1.24,0.94,0.09,5.45
202,Luigi's Mansion: Dark Moon,3DS,2013,Adventure,Nintendo  ,Next Level Games  ,8.6,,2.03,1.88,1.17,0.36,5.44
203,Call of Duty: World at War,PS3,2008,Shooter,Activision  ,Treyarch  ,8.4,,2.75,1.84,,0.84,5.43
