rank,game_title,platform,year,genre,publisher,developer,critic_score,user_score,north_america,europe,japan,rest_of_world,global
740,Spec Ops: Airborne Commando,PS,2002,Shooter,Gotham Games,Big Grub,,,1.54,0.46,0,0.08,2.07
741,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001,Strategy,Konami Digital Entertainment,Konami Computer Entertainment Japan,,,1.64,0.36,0,0.07,2.07
742,Tetris DS,DS,2006,Puzzle,Nintendo,Nintendo,8.5,,0.62,0.03,1.35,0.07,2.07
743,Dead Island,X360,2011,Action,Deep Silver,Techland,7.1,,1.25,0.61,0,0.2,2.06
744,R4: Ridge Racer Type 4,PS,1998,Racing,Namco Bandai Games,Namco,9.1,,0.68,0.46,0.79,0.13,2.06
745,SoulCalibur II,PS2,2003,Fighting,Namco Bandai Games,Namco,9.2,,1.06,0.62,0.13,0.25,2.06
746,Pokémon Mystery Dungeon: Red Rescue Team,GBA,2005,Role-Playing,Nintendo,Nintendo EAD,,,0.71,0.52,0.74,0.08,2.06
747,The Incredibles,GBA,2004,Action,THQ,Heavy Iron Studios,5.9,,1.15,0.77,0.04,0.1,2.06
748,Saints Row: The Third,PS3,2011,Action,THQ,Volition Inc.,8.3,,0.72,0.85,0.16,0.34,2.06
749,Call of Duty: Roads to Victory,PSP,2007,Shooter,Activision,Amaze Entertainment,6.1,,0.5,0.99,0,0.57,2.05
750,NBA Jam,GEN,1992,Sports,Arena Entertainment,Iguana Entertainment,,,1.75,0.25,0,0.05,2.05
751,Sim Theme Park,PC,1998,Strategy,Electronic Arts,Bullfrog Productions,8.1,,2.04,0.02,0,0,2.05
752,The Sims 2: Pets,DS,2006,Simulation,Electronic Arts,Maxis,4.8,,0.91,0.92,0,0.22,2.05
753,Sonic Mega Collection,GC,2002,Misc,Infogrames,Sonic Team,7.5,,1.47,0.48,0.05,0.06,2.05
754,Rock Band,Wii,2007,Misc,MTV Games,Harmonix Music Systems,9.1,,1.31,0.54,0,0.2,2.05
755,Madden NFL 13,PS3,2012,Sports,Electronic Arts,EA Tiburon,8,,1.76,0.1,0,0.18,2.04
756,Donkey Kong Country,GBA,2003,Platform,Nintendo,Rare Ltd.,9,,1.2,0.48,0.29,0.07,2.04
757,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,Sony Computer Entertainment,Zipper Interactive,,,1.74,0.02,0,0.28,2.04
758,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,Ubisoft,Ubisoft Montpellier,,,0.71,1.02,0,0.31,2.04
759,NBA Live 2004,PS2,2003,Sports,Electronic Arts,EA Canada,,,1.57,0.18,0,0.27,2.03
760,1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,Nintendo EAD,,,1.25,0.61,0.13,0.05,2.03
761,NBA 2K11,X360,2010,Sports,Take-Two Interactive,Visual Concepts,8.8,,1.77,0.1,0.01,0.16,2.03
762,Mario Sports Mix,Wii,2010,Sports,Nintendo,Square Enix,6,,0.85,0.41,0.63,0.14,2.02
763,BioShock 2,X360,2010,Shooter,Take-Two Interactive,2K Marin,8.6,,1.32,0.49,0.02,0.19,2.02
764,Final Fantasy III,DS,2006,Role-Playing,Square Enix,SquareSoft,9.1,,0.85,0.02,1.07,0.08,2.01
765,Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,Rockstar San Diego,8.3,,1.39,0.42,0.01,0.18,2.01
766,Need for Speed: Hot Pursuit,X360,2010,Racing,Electronic Arts,Criterion Games,8.9,,0.89,0.89,0,0.22,2
767,Need for Speed: ProStreet,X360,2007,Racing,Electronic Arts,EA Black Box,,,1.02,0.76,0.01,0.21,2
768,Super Street Fighter II,SNES,1993,Fighting,Nintendo,Capcom,,,0.52,0.16,1.29,0.03,2
769,Dragon Warrior,NES,1986,Role-Playing,Nintendo,ChunSoft,,,0.49,0,1.5,0.01,2
770,Kirby's Epic Yarn,Wii,2010,Platform,Nintendo,Good-Feel,8.7,,1.18,0.23,0.45,0.13,2
771,UFC 2009 Undisputed,X360,2009,Fighting,THQ,Yuke's Osaka,8.4,,1.44,0.38,0,0.18,2
772,Tom Clancy's Splinter Cell: Conviction,X360,2010,Action,Ubisoft,Ubisoft Montreal,8.6,,1.11,0.65,0.04,0.2,2
773,Tenchu: Stealth Assassins,PS,1997,Action,Activision,Acquire,8.8,,0.95,0.64,0.27,0.13,1.99
774,Dead Rising,X360,2006,Action,Capcom,Capcom Production Studio 1,8.4,,1.1,0.62,0.08,0.2,1.99
775,Harry Potter and the Chamber of Secrets,GBA,2002,Adventure,Electronic Arts,Eurocom Entertainment Software,,,1.21,0.64,0.05,0.09,1.99
776,Kirby Star Allies,NS,2018,Platform,Nintendo  ,HAL Laboratory  ,8.1,10,0.75,0.41,0.72,0.11,1.99
777,NBA 2K12,PS3,2011,Sports,Take-Two Interactive,Visual Concepts,9.1,,1.53,0.21,0.05,0.19,1.99
778,Harry Potter and the Chamber of Secrets,PS,2002,Adventure,Electronic Arts,Eurocom Entertainment Software,,,0.75,1.09,0.02,0.12,1.98
779,Yoshi,NES,1991,Puzzle,Nintendo,Game Freak,,,0.85,0.19,0.91,0.03,1.98
780,SimCity,SNES,1991,Simulation,Nintendo,Intelligent Systems,,,0.93,0.27,0.75,0.04,1.98
781,Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,Nintendo,Nintendo EAD,,,1.13,0.01,0.83,0,1.98
782,Zumba Fitness,X360,2010,Sports,505 Games,"Pipeworks Software, Inc.",,,1.41,0.39,0,0.18,1.97
783,Devil May Cry 2,PS2,2003,Action,Capcom,Capcom,6.5,,0.71,0.58,0.51,0.17,1.97
784,PGR4 - Project Gotham Racing 4,X360,2007,Racing,Microsoft Game Studios,Bizarre Creations,8.6,,0.45,1.25,0.02,0.25,1.97
785,TouchMaster,DS,2007,Puzzle,Midway Games,Midway Studios San Diego,6.9,,0.47,1.25,0,0.24,1.97
786,Sonic Unleashed,Wii,2008,Platform,Sega,Sonic Team/Dimps Corporation,6.7,8.2,1.11,0.64,0.02,0.2,1.97
787,Spyro: Enter the Dragonfly,PS2,2002,Platform,Universal Interactive,Check Six Games,,,0.74,0.95,0,0.28,1.97
788,Need for Speed: ProStreet,PS3,2007,Racing,Electronic Arts,EA Black Box,,,0.7,0.87,0.04,0.35,1.96
789,Soccer,NES,1985,Sports,Nintendo,"Iwasaki Electronics Co., Ltd.",,,0.18,0.23,1.53,0.02,1.96
790,Rad Racer,NES,1986,Racing,Nintendo,SquareSoft,,,1.13,0.37,0.41,0.05,1.96
791,Just Dance Kids,Wii,2010,Misc,Ubisoft,Ubisoft Paris,,,1.34,0.44,0,0.18,1.96
792,Rayman Raving Rabbids: TV Party,Wii,2008,Misc,Ubisoft,Ubisoft Paris,7.1,,0.71,1.03,0,0.22,1.96
793,Scribblenauts,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,5TH Cell,8.2,,1.5,0.27,0.02,0.17,1.96
794,NBA Street Vol. 2,PS2,2003,Sports,Electronic Arts,EA Canada,,,1.69,0.2,0,0.06,1.95
795,Crash Nitro Kart,PS2,2003,Racing,Konami Digital Entertainment,Vicarious Visions,,,0.74,1.01,0,0.2,1.95
796,Star Wars: Dark Forces,PC,1994,Shooter,LucasArts,LucasArts,,,1.09,0.77,0,0.09,1.95
797,Star Wars: The Force Unleashed,PS3,2008,Action,LucasArts,LucasArts,7.1,,0.94,0.7,0,0.31,1.95
798,Grand Theft Auto: San Andreas,XB,2005,Action,Take-Two Interactive,Rockstar North,9.5,,1.26,0.61,0,0.09,1.95
799,The 7th Guest,PC,1992,Adventure,Virgin Interactive,Trilobyte,,,1.09,0.77,0,0.09,1.95
800,Dragon Ball Z: Budokai 3,PS2,2004,Fighting,Atari,Dimps Corporation,,,1.09,0.15,0.65,0.04,1.94
801,Def Jam Vendetta,PS2,2003,Fighting,Electronic Arts,Aki Corporation,,,0.95,0.74,0,0.25,1.94
802,Alleyway,GB,1989,Puzzle,Nintendo,Nintendo R&D1 / Intelligent Systems,,,0.96,0.38,0.55,0.05,1.94
803,Jet Moto 2,PS,1997,Racing,Sony Computer Entertainment,SingleTrac,,,1.41,0.42,0.03,0.07,1.94
804,Final Fantasy XIII,X360,2010,Role-Playing,Square Enix,Square Enix,8,9.2,1.13,0.61,0.01,0.19,1.94
805,Scooby Doo and the Cyber Chase,PS,2001,Adventure,THQ,Art,,,0.59,1.23,0,0.13,1.94
806,Tom Clancy's Ghost Recon,PS2,2002,Shooter,Ubisoft,Red Storm Entertainment,,,1.42,0.4,0,0.12,1.94
807,Mortal Kombat II,SNES,1993,Fighting,Acclaim Entertainment,Sculptured Software,,,1.48,0.39,0,0.06,1.93
808,X-Men Legends,PS2,2004,Role-Playing,Activision,Raven Software,8.6,,1,0.72,0,0.21,1.93
809,Skylanders Giants,Wii,2012,Action,Activision,Toys for Bob,,,1.17,0.57,0,0.19,1.93
