publisher,count,north_america,europe,japan,rest_of_world,global,North America Ave/Game,Europe Ave/Game,Japan Ave/Game,Rest of World Ave/Game,Global Ave/Game
Sony Computer Entertainment America  ,1,2.41,2.57,0.29,0.99,6.27,2.41,2.57,0.29,0.99,6.27
RTL,1,0.44,0.66,0.0,0.12,1.22,0.44,0.66,0.0,0.12,1.22
2K Sports  ,1,2.56,0.66,0.05,0.71,3.98,2.56,0.66,0.05,0.71,3.98
Global Star Software  ,1,2.12,1.47,0.05,0.42,4.06,2.12,1.47,0.05,0.42,4.06
Sierra Entertainment  ,1,4.03,0.0,0.09,0.0,4.12,4.03,0.0,0.09,0.0,4.12
Ultra Games  ,1,3.38,0.44,0.31,0.04,4.17,3.38,0.44,0.31,0.04,4.17
Take-Two Interactive  ,1,2.89,1.03,0.13,0.41,4.47,2.89,1.03,0.13,0.41,4.47
Majesco  ,1,3.09,1.92,0.07,0.58,5.66,3.09,1.92,0.07,0.58,5.66
Mindscape,1,1.78,0.0,0.0,0.15,1.92,1.78,0.0,0.0,0.15,1.92
2K Games  ,1,1.0,0.53,0.0,0.17,1.7,1.0,0.53,0.0,0.17,1.7
Banpresto,1,0.0,0.0,1.69,0.01,1.7,0.0,0.0,1.69,0.01,1.7
NCSoft,1,0.78,0.69,0.0,0.23,1.7,0.78,0.69,0.0,0.23,1.7
Red Storm Entertainment,1,0.93,0.63,0.0,0.08,1.64,0.93,0.63,0.0,0.08,1.64
Valve Software,1,1.08,0.38,0.01,0.15,1.63,1.08,0.38,0.01,0.15,1.63
Video System,1,0.46,0.96,0.09,0.08,1.6,0.46,0.96,0.09,0.08,1.6
Westwood Studios,1,1.55,0.0,0.0,0.0,1.55,1.55,0.0,0.0,0.0,1.55
Fox Interactive,1,0.85,0.58,0.0,0.1,1.54,0.85,0.58,0.0,0.1,1.54
Namco Bandai Games  ,1,0.54,0.59,0.14,0.23,1.5,0.54,0.59,0.14,0.23,1.5
Valve,1,0.72,0.45,0.02,0.21,1.4,0.72,0.45,0.02,0.21,1.4
ASC Games,1,0.73,0.5,0.0,0.09,1.31,0.73,0.5,0.0,0.09,1.31
Rising Star Games,1,0.72,0.47,0.0,0.13,1.31,0.72,0.47,0.0,0.13,1.31
Sony Online Entertainment,1,0.63,0.49,0.0,0.16,1.28,0.63,0.49,0.0,0.16,1.28
Natsume,1,0.99,0.13,0.1,0.04,1.25,0.99,0.13,0.1,0.04,1.25
GameBank,1,0.75,0.44,0.0,0.06,1.24,0.75,0.44,0.0,0.06,1.24
Pacific Century Cyber Works,1,0.61,0.48,0.0,0.16,1.24,0.61,0.48,0.0,0.16,1.24
Tripwire Interactive  ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
